content_length,hashtag_count,emoji_count,has_image,post_time_hour,post_time_day,mentions_count,urls_count,is_product_post,is_promotional,is_engagement_post,has_price,favorite_count,retweet_count,reply_count,engagement_rate,total_engagement
187,2,0,1,12,0,1,1,0,0,0,0,7925,585,98,0.1200018624824381,8608
138,2,0,0,9,0,1,1,1,0,0,0,320,46,7,0.0051998948310814,373
244,1,0,1,18,6,1,2,0,0,1,0,8430,859,54,0.130248304039663,9343
146,3,0,1,10,6,1,2,0,0,0,0,265,58,5,0.0045725616745166,328
157,3,0,0,9,6,1,2,0,0,0,0,283,57,5,0.00480955420033,345
187,1,0,0,13,5,0,3,1,0,0,0,259,51,9,0.0044470950432037,319
224,1,0,1,13,4,0,3,1,0,0,0,294,42,8,0.0047956134635175,344
181,1,0,1,8,3,0,3,1,0,0,0,390,81,10,0.0067054944068369,481
299,3,0,1,8,2,0,2,1,0,0,0,172,37,2,0.0029414954674482,211
300,1,0,1,15,1,0,2,0,0,0,0,202,60,12,0.0038197618866389,274
304,2,0,1,10,1,0,3,0,0,1,0,168,41,3,0.0029554362042607,212
304,2,0,1,10,1,0,3,0,0,1,0,330,70,7,0.0056738798827082,407
298,2,0,1,9,1,0,3,1,0,1,0,221,41,6,0.0037361174657636,268
298,1,0,1,19,0,0,2,0,0,1,0,148,33,3,0.0025650955735093,184
296,1,0,1,18,0,0,2,0,0,1,0,202,45,11,0.0035967100976381,258
302,1,0,0,17,0,0,2,1,0,1,0,225,43,5,0.0038058211498263,273
304,4,0,1,15,0,0,3,1,0,0,0,138,37,1,0.0024535696790089,176
302,3,0,1,13,0,0,2,1,0,1,0,218,65,5,0.0040149322020146,288
223,3,0,1,10,6,0,2,1,1,1,0,213,50,4,0.003722176728951,267
200,3,0,1,13,5,0,2,1,0,1,0,287,79,13,0.0052835392519567,379
289,4,0,1,8,5,0,2,1,0,1,0,295,97,12,0.0056320576722705,404
282,4,0,1,17,4,0,2,1,0,1,0,161,37,2,0.0027881473625101,200
168,1,0,1,13,4,0,2,0,0,0,0,173,35,3,0.0029414954674482,211
178,1,0,1,13,3,0,2,0,0,0,0,261,42,5,0.0042937469382656,308
229,1,0,1,13,2,0,3,0,0,0,0,246,60,8,0.0043773913591409,314
295,2,0,1,7,1,1,2,0,0,1,0,47367,16280,643,0.8962499696788975,64290
302,1,0,1,6,0,1,1,0,0,1,0,72305,31649,2780,1.4879506029508078,106734
235,1,0,1,14,6,0,3,0,0,1,0,81,26,20,0.0017704735751939,127
229,1,0,1,16,5,0,2,0,0,1,0,99,21,4,0.0017286513647563,124
238,0,0,1,12,5,0,3,0,0,1,0,98,18,4,0.0016728884175061,120
211,1,0,1,10,5,0,3,0,0,0,0,190,46,5,0.0033597175718247,241
164,3,0,1,20,4,0,2,0,1,0,0,142,26,7,0.0024396289421964,175
168,3,0,0,20,4,1,2,0,0,0,0,90,12,2,0.0014498366285052,104
184,4,0,1,19,4,1,2,0,1,0,0,241,18,6,0.0036942952553259,265
116,2,0,1,19,4,0,2,0,0,0,0,167,19,1,0.002606917783947,187
131,3,0,1,18,4,0,2,0,1,1,0,129,18,2,0.00207716978507,149
300,1,0,0,17,4,0,2,0,0,0,0,56,19,1,0.0010594959977538,76
304,3,0,1,16,4,1,3,1,0,1,0,715,168,17,0.0125466631312958,900
299,1,0,1,15,4,0,1,1,0,0,0,187,57,2,0.0034294212558875,246
233,3,0,1,13,4,1,2,0,1,0,0,1054,101,11,0.0162548991234343,1166
168,3,0,1,12,4,0,2,0,0,0,0,77,16,1,0.0013104292603797,94
143,2,0,1,11,4,1,2,0,0,0,0,184,27,4,0.0029972584146984,215
157,1,0,1,10,4,1,1,0,1,0,0,1784,195,44,0.0282021105717904,2023
180,1,0,1,7,3,0,3,1,0,0,0,148,42,5,0.0027184436784474,195
303,2,0,1,12,2,0,2,0,0,1,0,159,56,3,0.003039080625136,218
297,1,0,1,8,2,0,3,0,0,1,0,164,46,12,0.0030948435723862,222
170,1,0,1,13,1,0,3,0,0,0,0,151,47,12,0.0029275547306356,210
189,1,0,1,18,0,0,3,0,0,0,0,135,21,6,0.0022583993636332,162
196,1,0,1,16,0,0,3,0,0,0,0,156,47,3,0.0028717917833854,206
232,1,0,1,11,0,0,3,0,0,0,0,142,36,4,0.0025372140998842,182
168,1,0,1,8,0,0,3,0,0,0,0,194,53,3,0.0034851842031377,250
165,3,0,1,13,6,0,2,0,0,0,0,97,26,5,0.0017844143120065,128
224,4,0,1,17,5,0,2,0,0,0,0,98,30,6,0.0018680587328818,134
301,4,0,1,10,5,0,2,0,0,1,0,127,35,3,0.0023002215740708,165
281,3,0,1,16,4,0,3,0,0,0,0,237,56,8,0.0041961617805778,301
219,3,0,1,9,4,0,3,0,0,0,0,280,82,3,0.005088368936581,365
236,1,0,0,17,3,0,3,1,0,0,0,170,44,6,0.0030669620987611,220
182,2,0,1,15,3,0,3,1,0,1,0,140,31,0,0.0023838659949462,171
165,2,0,1,14,3,0,2,0,0,0,0,240,62,4,0.0042658654646405,306
221,3,0,1,13,3,0,3,0,0,0,0,154,33,1,0.0026208585207595,188
231,2,0,1,10,3,0,3,0,0,0,0,117,21,3,0.0019656438905696,141
256,2,0,1,16,2,0,3,0,0,0,0,130,34,2,0.0023141623108834,166
221,1,0,1,10,2,0,3,0,0,1,0,258,75,5,0.0047119690426422,338
218,1,0,1,9,2,0,3,0,1,1,0,189,38,1,0.0031784879932616,228
230,2,0,1,17,1,0,3,1,0,0,0,122,29,3,0.0021468734691328,154
196,1,0,1,13,1,0,3,1,0,0,0,166,35,3,0.0028439103097603,204
177,1,0,1,8,1,0,3,0,0,0,0,178,31,3,0.0029554362042607,212
125,3,0,1,15,0,1,2,0,0,0,0,416,91,5,0.007137657248026,512
143,3,0,0,14,0,1,2,0,0,0,0,504,90,8,0.0083923235611556,602
133,1,0,0,10,0,0,2,0,0,1,0,131,41,5,0.0024675104158215,177
185,3,0,1,17,6,1,2,0,0,0,0,337,79,0,0.0057993465140211,416
141,3,0,1,13,6,1,2,0,0,0,0,378,72,4,0.0063290945128981,454
212,3,0,1,9,6,1,2,1,0,0,0,504,100,4,0.0084759679820309,608
196,4,0,1,13,5,0,3,1,0,0,0,275,45,5,0.004530739464079,325
204,3,0,1,17,4,0,3,1,0,0,0,136,32,4,0.0023978067317587,172
150,3,0,1,15,4,2,1,0,0,1,0,77,13,1,0.0012686070499421,91
119,2,0,1,12,4,1,2,0,0,1,0,217,51,4,0.0037918804130138,272
154,2,0,1,11,4,1,1,0,0,0,0,68,12,1,0.0011291996818166,81
188,4,0,1,11,4,0,2,0,0,0,0,242,49,4,0.0041125173597025,295
156,4,0,1,10,4,0,1,0,1,0,0,986,350,30,0.0190430464859445,1366
139,3,0,0,10,4,1,1,0,0,0,0,407,107,10,0.0073049460897766,524
161,3,0,1,9,4,0,2,0,0,0,0,438,103,4,0.0075977015628402,545
126,2,0,1,9,4,0,2,0,0,0,0,345,66,2,0.0057575243035835,413
296,3,0,1,8,4,0,3,1,1,1,0,133,21,0,0.0021468734691328,154
303,1,0,1,7,3,0,1,0,0,1,0,105,48,5,0.002202636416383,158
264,5,0,1,17,2,0,3,0,0,1,0,187,54,4,0.0034154805190749,245
304,5,0,1,16,2,0,2,0,0,1,0,191,49,3,0.0033875990454498,243
300,1,0,1,11,2,0,2,0,0,1,0,115,37,4,0.0021747549427579,156
302,1,0,1,7,2,1,1,0,1,1,0,156,53,8,0.0030251398883235,217
300,1,1,1,10,1,0,2,1,0,0,0,194,67,3,0.0036803545185134,264
304,1,0,1,8,1,0,3,1,0,0,0,221,52,6,0.0038894655707017,279
264,3,0,1,9,0,1,3,1,0,1,0,268,70,8,0.0048234949371426,346
294,1,0,1,17,6,0,2,0,0,0,0,186,34,3,0.0031087843091988,223
302,1,0,1,10,6,1,2,0,0,0,0,273,85,4,0.0050465467261434,362
231,2,0,1,16,5,0,3,1,0,0,0,201,51,4,0.003568828624013,256
233,4,0,1,9,5,1,3,0,0,0,0,165,48,8,0.0030809028355737,221
291,3,0,0,19,4,1,3,0,0,0,0,246,72,12,0.0046004431481417,330
300,2,0,1,12,4,0,1,1,0,0,0,168,52,3,0.0031087843091988,223
291,2,0,1,17,3,1,3,0,0,0,0,224,82,6,0.0043495098855158,312
294,0,0,1,13,3,1,2,0,0,1,0,336,83,28,0.0062315093552102,447
99,1,0,1,16,2,1,1,0,0,0,0,132,56,7,0.0027184436784474,195
272,1,0,1,13,2,0,2,0,0,1,0,72,30,3,0.0014637773653178,105
284,2,0,1,8,2,0,2,0,0,1,0,143,47,5,0.0027184436784474,195
161,4,0,0,18,1,1,1,0,0,0,0,120,36,7,0.0022723401004457,163
180,3,0,1,17,1,2,1,0,0,1,0,1095,120,42,0.0175235061733764,1257
98,2,0,1,16,1,0,1,0,0,0,0,246,67,4,0.0044192135695786,317
284,3,0,1,16,1,0,2,0,0,1,0,374,225,16,0.0085735531397188,615
165,3,0,1,15,1,1,1,0,0,0,0,1598,194,20,0.0252606151043422,1812
229,2,0,1,13,1,0,3,0,0,0,0,92,27,0,0.0016589476806935,119
303,4,0,1,10,1,0,3,0,0,1,0,112,41,0,0.0021329327323202,153
189,2,0,1,13,0,0,3,0,0,0,0,183,52,5,0.0033457768350122,240
206,3,0,1,10,0,1,2,1,0,0,0,515,280,38,0.0116126337648549,833
297,3,0,1,16,6,0,3,1,0,1,0,170,65,2,0.0033039546245745,237
193,4,0,1,10,6,0,3,0,0,0,0,122,37,4,0.0022723401004457,163
239,3,0,1,7,5,1,2,0,1,1,0,9998,4394,260,0.2042596757774958,14652
304,4,0,1,19,4,0,3,0,0,1,0,124,37,6,0.002328103047696,167
295,3,0,1,13,4,0,2,0,0,1,0,109,43,4,0.0021747549427579,156
177,1,0,1,13,3,0,3,0,0,0,0,259,69,14,0.0047677319898924,342
169,1,0,1,16,2,0,2,0,0,0,0,201,89,9,0.0041682803069527,299
194,1,0,1,8,2,0,3,0,0,0,0,200,58,9,0.003722176728951,267
295,1,0,1,18,1,0,2,0,1,1,0,112,33,5,0.0020911105218826,150
302,1,0,1,14,1,1,2,0,1,1,0,177,46,8,0.0032203102036992,231
257,1,0,1,12,1,0,2,1,0,1,0,110,33,5,0.0020632290482575,148
267,1,0,1,10,1,0,3,0,0,1,0,178,42,9,0.0031924287300741,229
301,1,0,1,16,0,0,3,1,0,1,0,181,48,6,0.0032760731509494,235
302,1,0,1,8,0,0,1,0,0,1,0,162,39,5,0.0028717917833854,206
160,2,0,1,13,6,1,3,0,0,0,0,455,80,23,0.0077789311414034,558
188,3,0,1,17,5,0,2,0,0,0,0,199,67,4,0.0037639989393887,270
265,4,0,1,17,5,1,2,0,0,0,0,712,188,33,0.0130067074461099,933
167,5,0,1,11,5,1,2,0,0,0,0,130,34,6,0.0023699252581336,170
186,7,0,1,10,5,1,2,0,0,1,0,357,91,14,0.0064406204073985,462
147,4,0,1,10,5,0,2,0,0,0,0,244,48,5,0.0041403988333276,297
187,4,0,1,9,4,1,2,0,0,0,0,460,172,22,0.0091172418754082,654
158,2,0,1,7,4,0,2,0,0,0,0,883,377,13,0.0177465579623772,1273
137,3,0,1,19,3,0,2,0,0,0,0,100,18,4,0.0017007698911312,122
168,3,0,1,17,3,0,2,0,0,1,0,198,50,12,0.0036245915712632,260
162,3,0,1,15,3,0,2,0,0,0,0,193,54,9,0.003568828624013,256
260,4,0,1,12,3,2,2,0,0,0,0,184,69,16,0.0037500582025761,269
171,5,0,1,11,3,0,2,0,0,0,0,414,161,10,0.0081553310353422,585
231,4,0,0,11,3,2,2,0,0,1,0,71,26,3,0.001394073681255,100
272,4,0,0,9,3,0,2,0,0,0,0,350,94,5,0.0062593908288353,449
301,1,0,0,16,2,0,1,0,0,1,0,1180,554,104,0.0256230742614685,1838
92,1,0,1,13,2,0,1,0,0,0,0,138,41,5,0.0025650955735093,184
142,4,0,1,8,2,0,1,0,0,0,0,12076,6238,716,0.2652922215428436,19030
304,1,0,0,17,1,0,1,1,0,1,0,218,78,12,0.0042937469382656,308
185,2,0,1,13,1,0,1,0,0,0,0,121,37,5,0.0022723401004457,163
298,1,0,1,11,1,0,2,0,0,1,0,105,23,7,0.0018819994696943,135
201,5,0,1,9,1,1,2,0,0,0,0,453,206,12,0.0093542344012216,671
170,5,0,1,19,0,1,2,0,0,0,0,115,28,3,0.0020353475746324,146
162,5,0,1,19,0,1,2,0,0,0,0,374,90,8,0.006580027775524,472
200,5,0,1,18,0,3,2,0,0,0,0,254,73,7,0.004656206095392,334
207,5,0,1,18,0,2,2,0,0,0,0,83,15,2,0.001394073681255,100
147,3,0,1,17,0,0,2,0,0,0,0,6857,2539,251,0.1344862880306785,9647
219,2,0,1,17,0,0,2,1,1,0,0,185,61,2,0.0034573027295126,248
145,3,0,1,16,0,0,2,0,0,0,0,77,14,0,0.0012686070499421,91
128,3,0,1,15,0,0,2,0,0,0,0,94,11,1,0.0014777181021303,106
172,5,0,1,14,0,0,2,0,1,0,0,96,15,1,0.0015613625230057,112
